Date,Close,High,Low,Open,Volume
28-10-2024,3987.5,4094.300049,3975,4052.199951,297228
29-10-2024,3965.149902,4010,3940.199951,4000,304479
30-10-2024,3932.449951,4036.949951,3920,4000,651051
31-10-2024,3930.699951,3939.350098,3876,3930,267667
01-11-2024,4001.600098,4010,3939.949951,3949.949951,67509
04-11-2024,3945.850098,4006.100098,3899.649902,4000.75,391414
05-11-2024,3926.550049,3958.850098,3905.050049,3945.850098,353931
06-11-2024,3922.300049,3950,3915.649902,3925,357725
07-11-2024,3889.100098,3943.199951,3871,3940,279832
08-11-2024,3874.5,3910.100098,3860.149902,3873.050049,428073
11-11-2024,3885.699951,3940,3814.300049,3899.649902,417671
12-11-2024,3777,3910,3762.550049,3910,683988
13-11-2024,3759.550049,3874.949951,3751,3774,419503
14-11-2024,3823.850098,3858.850098,3769,3785.199951,305991
18-11-2024,3790.550049,3948,3757.600098,3948,656068
19-11-2024,3752.449951,3794.550049,3737.649902,3792.5,813368
21-11-2024,3622.899902,3774.550049,3604.050049,3765.050049,934131
22-11-2024,3613.649902,3656.100098,3564,3615.850098,940870
25-11-2024,3621.050049,3738.600098,3592.100098,3686,1144350
26-11-2024,3659.149902,3681,3622,3635,444828
27-11-2024,3661.25,3692.5,3610.050049,3674,361531
28-11-2024,3716.550049,3757.899902,3651,3696.649902,658002
29-11-2024,3709.600098,3730.449951,3661.550049,3714.699951,913178
02-12-2024,3678.399902,3722.949951,3622.699951,3715.449951,975522
03-12-2024,3829.850098,3853.100098,3655.699951,3678.399902,979946
04-12-2024,3850.100098,3889.25,3801.050049,3850,791735
05-12-2024,3863.949951,3882,3822.699951,3865,467723
06-12-2024,3805.550049,3920.449951,3784.050049,3889,1141350
09-12-2024,3829.050049,3844,3761,3800,948370
10-12-2024,3816.899902,3853,3776.600098,3835,573687
11-12-2024,3708.300049,3760,3671.350098,3700,1839723
12-12-2024,3688.449951,3736.800049,3678.449951,3729.949951,576170
13-12-2024,3652.300049,3694.800049,3612,3688.449951,806508
16-12-2024,3623.800049,3672.5,3612.25,3650,595919
17-12-2024,3542.949951,3629.949951,3519,3627.050049,988419
18-12-2024,3515.699951,3558,3492.699951,3542.949951,748691
19-12-2024,3498.149902,3522.699951,3455.699951,3500,684534
20-12-2024,3408.300049,3519.949951,3399,3519.949951,914445
23-12-2024,3460.550049,3475.899902,3419.050049,3443.449951,642122
24-12-2024,3459.649902,3524.899902,3450.850098,3474,465809
26-12-2024,3511.649902,3524,3446.199951,3462.699951,611648
27-12-2024,3568.350098,3573.399902,3481.050049,3481.050049,451012
30-12-2024,3588.550049,3669.899902,3495.050049,3570,2347725
31-12-2024,3561.850098,3577.949951,3510.100098,3555,693775
01-01-2025,3561,3586.949951,3536.550049,3560,241116
02-01-2025,3611.100098,3635,3550.25,3564.949951,566194
03-01-2025,4025.199951,4165.899902,3820,3840,9284385
06-01-2025,3934.75,4061.75,3920.100098,4025.199951,889155
07-01-2025,3830.300049,3958.949951,3820,3934,672094
08-01-2025,3843,3873.949951,3761.800049,3857,849681
09-01-2025,3813.800049,3860,3790.100098,3853.5,727974
10-01-2025,3686.25,3837.800049,3666.649902,3837.800049,902001
13-01-2025,3507.449951,3643.949951,3469.949951,3501,2952386
14-01-2025,3476.5,3538.949951,3443,3529.949951,746217
15-01-2025,3568.449951,3578.949951,3476.5,3500.050049,744961
16-01-2025,3600.949951,3643.300049,3570,3570,395260
17-01-2025,3620.649902,3649.949951,3580.949951,3610,244753
20-01-2025,3614.699951,3640,3598,3624,195566
21-01-2025,3587.800049,3630,3547.350098,3614.699951,211130
22-01-2025,3561.600098,3619,3524.5,3604,320915
23-01-2025,3598.350098,3609.800049,3530,3555,263606
24-01-2025,3579.949951,3608.5,3535,3598,288983
27-01-2025,3532.949951,3565,3507,3565,387420
28-01-2025,3559.300049,3595,3495.300049,3540.199951,490412
29-01-2025,3568.100098,3586.199951,3540.949951,3555.800049,387658
30-01-2025,3575.399902,3585,3553.600098,3572.050049,325453
31-01-2025,3664.649902,3703.699951,3570,3575,339017
01-02-2025,4023.75,4084.699951,3633,3670,3123773
03-02-2025,3947.850098,4090,3859.300049,3899.949951,1842880
04-02-2025,3919.850098,4017.649902,3890,3954.949951,770272
05-02-2025,3865.699951,4015,3841,3910,693767
06-02-2025,3748.449951,3905,3724.050049,3905,400410
07-02-2025,3743.5,3764.100098,3695.399902,3750,301644
10-02-2025,3722.050049,3813,3693.050049,3756.600098,428010
11-02-2025,3682.699951,3749.600098,3663,3724.800049,315000
12-02-2025,3689.899902,3699.899902,3585,3681.5,478915
13-02-2025,3696.5,3722.300049,3659,3698.899902,243492
